schemaname,tablename,indexname,indexdef
public,time_entries,idx_time_entries_workspace_id,CREATE INDEX idx_time_entries_workspace_id ON public.time_entries USING btree (workspace_id)
public,time_entries,time_entries_pkey,CREATE UNIQUE INDEX time_entries_pkey ON public.time_entries USING btree (id)
public,users,users_email_unique,CREATE UNIQUE INDEX users_email_unique ON public.users USING btree (email)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
public,verifications,verifications_pkey,CREATE UNIQUE INDEX verifications_pkey ON public.verifications USING btree (id)
public,workspace_currency_rates,workspace_currency_rates_pkey,CREATE UNIQUE INDEX workspace_currency_rates_pkey ON public.workspace_currency_rates USING btree (id)
public,workspace_currency_rates,workspace_currency_rates_workspace_id_from_currency_unique,"CREATE UNIQUE INDEX workspace_currency_rates_workspace_id_from_currency_unique ON public.workspace_currency_rates USING btree (workspace_id, from_currency)"
public,workspace_invoice_counters,workspace_invoice_counters_pkey,CREATE UNIQUE INDEX workspace_invoice_counters_pkey ON public.workspace_invoice_counters USING btree (workspace_id)
public,workspace_members,workspace_members_pkey,CREATE UNIQUE INDEX workspace_members_pkey ON public.workspace_members USING btree (id)
public,workspace_members,workspace_members_workspace_id_user_id_unique,"CREATE UNIQUE INDEX workspace_members_workspace_id_user_id_unique ON public.workspace_members USING btree (workspace_id, user_id)"
public,workspaces,idx_workspaces_owner_id,CREATE INDEX idx_workspaces_owner_id ON public.workspaces USING btree (owner_id)
public,workspaces,workspaces_booking_slug_unique,CREATE UNIQUE INDEX workspaces_booking_slug_unique ON public.workspaces USING btree (booking_slug)
public,workspaces,workspaces_pkey,CREATE UNIQUE INDEX workspaces_pkey ON public.workspaces USING btree (id)
public,workspaces,workspaces_slug_unique,CREATE UNIQUE INDEX workspaces_slug_unique ON public.workspaces USING btree (slug)
